*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20090101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2009   1   81000  -2.8   0.5  0.56   1.6   0.0
1   2009   2  146000  -7.2   1.9  0.50   2.2   0.5
1   2009   3   90000  -8.9   1.6  0.47   1.9   0.0
1   2009   4   78000   1.3   3.5  0.73   3.8   4.0
1   2009   5  311000  -4.6   1.5  0.55   5.2   2.1
1   2009   6  483000  -9.6  -1.3  0.41   2.1   0.0
1   2009   7  204000  -6.7   3.5  0.54   2.0   0.2
1   2009   8  133000  -7.3  -3.1  0.41   2.0   0.0
1   2009   9  439000 -10.3  -1.6  0.39   0.9   0.0
1   2009  10  496000 -10.5  -3.6  0.36   2.1   0.0
1   2009  11  459000  -6.0   2.4  0.54   4.1   0.0
1   2009  12  208000   1.4   5.8  0.79   6.2   2.4
1   2009  13   69000   3.9   5.2  0.84   4.2   4.0
1   2009  14  207000   2.5   6.3  0.84   2.6   0.0
1   2009  15  441000   1.0   5.0  0.76   3.3   0.0
1   2009  16  177000   0.1   3.7  0.70   3.9   0.0
1   2009  17  113000   2.8   7.5  0.88   5.1   0.7
1   2009  18   93000   2.1   7.7  0.87   6.1   5.4
1   2009  19   89000   2.1   8.8  0.90   6.5   4.1
1   2009  20  320000   1.8   6.4  0.82   4.8   0.9
1   2009  21  239000   1.2   5.6  0.78   3.5   0.0
1   2009  22   90000   1.6   6.2  0.81   6.4   6.8
1   2009  23   78000   3.7   7.7  0.92   5.9  22.6
1   2009  24  258000   0.9   6.1  0.78   3.2   0.0
1   2009  25  460000  -0.2   5.0  0.73   4.8   0.0
1   2009  26  475000  -2.3   5.6  0.69   3.3   0.0
1   2009  27  523000  -4.1   3.8  0.60   2.0   0.0
1   2009  28  567000  -4.7   2.8  0.57   2.8   0.0
1   2009  29  654000  -3.9   2.5  0.58   2.6   0.0
1   2009  30  623000  -4.4   5.1  0.63   4.0   0.0
1   2009  31  651000  -2.6   3.2  0.62   5.8   0.0
1   2009  32  515000  -2.5   1.1  0.58   6.7   0.0
1   2009  33  170000  -1.9   3.5  0.65   6.5   0.0
1   2009  34  120000   0.3   4.0  0.71   2.6   2.4
1   2009  35  105000   0.0   0.8  0.63   1.4   0.0
1   2009  36  227000  -0.5   6.6  0.76   3.1   3.0
1   2009  37  503000   1.0   9.2  0.88   2.1   0.0
1   2009  38  304000   1.1   5.2  0.77   2.7   3.0
1   2009  39  417000  -0.7   4.3  0.70   2.6   1.7
1   2009  40  138000  -0.3   4.7  0.72   4.3   9.8
1   2009  41   79000   1.2   7.6  0.84   4.8   8.2
1   2009  42  461000  -1.0   6.2  0.74   3.3   2.3
1   2009  43  690000  -0.9   5.1  0.71   2.4   0.5
1   2009  44  216000   0.4   3.0  0.69   2.3   2.3
1   2009  45  769000  -4.2   4.0  0.61   1.8   0.0
1   2009  46  290000  -4.5   4.8  0.62   3.2   3.3
1   2009  47  418000   4.7   9.2  1.00   3.1   5.9
1   2009  48  174000  -0.9   6.5  0.75   3.6   3.8
1   2009  49  632000  -3.3   3.1  0.61   2.2   0.0
1   2009  50  199000  -2.0   4.7  0.67   2.3   1.0
1   2009  51  221000   4.0   6.5  0.89   2.9   0.6
1   2009  52  386000   3.1   8.5  0.92   2.4   0.0
1   2009  53  281000   5.4   8.8  1.01   3.3   0.5
